body_part,equipment,name,target,secondary_muscles_full,difficulty,sets,reps
back,leverage machine,assisted standing pull-up,lats,"biceps, forearms",advanced,4,10-12
upper arms,assisted,assisted standing triceps extension (with towel),triceps,shoulders,beginner,2,10-12
upper arms,leverage machine,assisted triceps dip (kneeling),triceps,"chest, shoulders",intermediate,4,15-18
chest,leverage machine,assisted wide-grip chest dip (kneeling),pectorals,"triceps, shoulders",advanced,5,8-10
cardio,body weight,astride jumps (male),cardiovascular system,"quadriceps, hamstrings",beginner,2,10-12
cardio,body weight,back and forth step,cardiovascular system,"quadriceps, hamstrings",beginner,3,12-15
back,stability ball,back extension on exercise ball,spine,"glutes, hamstrings",beginner,3,12-15
back,body weight,back lever,upper back,"biceps, forearms",beginner,2,10-12
back,body weight,back pec stretch,lats,"shoulders, chest",beginner,2,12-15
upper legs,body weight,backward jump,quadriceps,"hamstrings, glutes",beginner,2,10-12
upper legs,body weight,balance board,quadriceps,"calves, hamstrings",beginner,3,12-15
upper arms,band,band alternating biceps curl,biceps,forearms,beginner,3,12-15
waist,band,band alternating v-up,abdominals,hip flexors,beginner,3,10-12
back,band,band assisted pull-up,lats,"biceps, forearms",advanced,5,8-10
waist,band,band assisted wheel rollerout,abdominals,lower back,beginner,2,12-15
chest,band,band bench press,pectorals,"triceps, shoulders",advanced,4,8-10
upper legs,band,band bent-over hip extension,glutes,"hamstrings, lower back",intermediate,4,12-15
waist,band,band bicycle crunch,abdominals,"hip flexors, obliques",beginner,2,10-12
back,band,band close-grip pulldown,lats,"biceps, forearms",advanced,4,10-12
upper arms,band,band close-grip push-up,triceps,"chest, shoulders",intermediate,4,12-15
upper arms,band,band concentration curl,biceps,forearms,beginner,3,12-15
back,band,band fixed back close grip pulldown,lats,"biceps, forearms",advanced,5,8-10
back,band,band fixed back underhand pulldown,lats,"biceps, rhomboids",advanced,5,10-12
shoulders,band,band front lateral raise,shoulders,"traps, upper back",intermediate,3,15-18
shoulders,band,band front raise,shoulders,"triceps, upper back",intermediate,4,12-15
upper legs,band,band hip lift,glutes,"hamstrings, quadriceps",intermediate,3,15-18
waist,band,band horizontal pallof press,abdominals,"obliques, glutes",beginner,2,12-15
waist,band,band jack knife sit-up,abdominals,hip flexors,beginner,2,12-15
back,band,band kneeling one arm pulldown,lats,"biceps, rhomboids",advanced,4,10-12
waist,band,band kneeling twisting crunch,abdominals,obliques,beginner,3,10-12
upper legs,band,band lying hip internal rotation,glutes,"hamstrings, quadriceps",intermediate,3,15-18
waist,band,band lying straight leg raise,abdominals,hip flexors,beginner,3,12-15
upper arms,band,band one arm overhead biceps curl,biceps,"forearms, shoulders",beginner,3,10-12
upper legs,band,band one arm single leg split squat,quadriceps,"glutes, hamstrings",intermediate,4,15-18
back,band,band one arm standing low row,upper back,"biceps, shoulders",advanced,4,10-12
chest,band,band one arm twisting chest press,pectorals,"shoulders, triceps",advanced,5,8-10
back,band,band one arm twisting seated row,upper back,"biceps, shoulders",advanced,5,8-10
upper legs,band,band pull through,glutes,"hamstrings, lower back",intermediate,3,12-15
waist,band,band push sit-up,abdominals,"shoulders, chest",beginner,2,10-12
shoulders,band,band reverse fly,shoulders,"upper back, trapezius",intermediate,4,15-18
lower arms,band,band reverse wrist curl,forearms,forearms,beginner,3,10-12
upper legs,band,band seated hip internal rotation,glutes,"hamstrings, quadriceps",intermediate,4,12-15
waist,band,band seated twist,abdominals,obliques,beginner,3,12-15
shoulders,band,band shoulder press,shoulders,"triceps, upper back",intermediate,4,12-15
back,band,band shrug,trapezius,shoulders,advanced,4,10-12
upper arms,band,band side triceps extension,triceps,shoulders,intermediate,4,15-18
lower legs,band,band single leg calf raise,calves,"ankles, feet",intermediate,4,15-18
lower legs,band,band single leg reverse calf raise,calves,"hamstrings, glutes",intermediate,4,15-18
upper legs,band,band single leg split squat,quadriceps,"glutes, hamstrings",intermediate,4,12-15
upper legs,band,band squat,glutes,"quadriceps, hamstrings",intermediate,3,15-18
upper legs,band,band squat row,glutes,"hamstrings, quadriceps",intermediate,4,15-18
waist,band,band standing crunch,abdominals,obliques,beginner,2,12-15
shoulders,band,band standing rear delt row,shoulders,"trapezius, rhomboids",intermediate,4,12-15
waist,band,band standing twisting crunch,abdominals,obliques,beginner,2,10-12
upper legs,band,band step-up,glutes,"quadriceps, hamstrings",intermediate,3,12-15
upper legs,band,band stiff leg deadlift,glutes,"hamstrings, lower back",intermediate,4,12-15
upper legs,band,band straight back stiff leg deadlift,glutes,"hamstrings, lower back",intermediate,4,15-18
back,band,band straight leg deadlift,spine,"hamstrings, glutes",advanced,5,10-12
shoulders,band,band twisting overhead press,shoulders,"triceps, upper back",intermediate,4,12-15
lower legs,band,band two legs calf raise - (band under both legs) v. 2,calves,"ankles, feet",intermediate,4,15-18
back,band,band underhand pulldown,lats,"biceps, forearms",advanced,5,10-12
waist,band,band v-up,abdominals,hip flexors,beginner,3,10-12
waist,band,band vertical pallof press,abdominals,"obliques, glutes",beginner,3,12-15
lower arms,band,band wrist curl,forearms,"biceps, triceps",beginner,3,12-15
shoulders,band,band y-raise,shoulders,"traps, rhomboids",intermediate,4,12-15
upper arms,barbell,barbell alternate biceps curl,biceps,forearms,advanced,4,10-12
upper legs,barbell,barbell bench front squat,quadriceps,"hamstrings, glutes",advanced,4,10-12
chest,barbell,barbell bench press,pectorals,"triceps, shoulders",advanced,4,10-12
upper legs,barbell,barbell bench squat,quadriceps,"glutes, hamstrings",advanced,4,8-10
back,barbell,barbell bent arm pullover,lats,"triceps, chest",advanced,4,8-10
back,barbell,barbell bent over row,upper back,"biceps, forearms",advanced,5,8-10
upper arms,barbell,barbell biceps curl (with arm blaster),biceps,forearms,advanced,5,8-10
upper legs,barbell,barbell clean and press,quadriceps,"hamstrings, glutes",advanced,5,8-10
upper legs,barbell,barbell clean-grip front squat,glutes,"quadriceps, hamstrings",advanced,5,8-10
upper arms,barbell,barbell close-grip bench press,triceps,"chest, shoulders",advanced,5,10-12
upper arms,barbell,barbell curl,biceps,forearms,advanced,4,10-12
upper legs,barbell,barbell deadlift,glutes,"hamstrings, lower back",advanced,5,8-10
chest,barbell,barbell decline bench press,pectorals,"triceps, shoulders",advanced,5,8-10
back,barbell,barbell decline bent arm pullover,lats,"triceps, chest",advanced,4,8-10
upper arms,barbell,barbell decline close grip to skull press,triceps,"chest, shoulders",advanced,4,8-10
chest,barbell,barbell decline pullover,pectorals,"triceps, shoulders",advanced,4,10-12
chest,barbell,barbell decline wide-grip press,pectorals,"triceps, shoulders",advanced,4,10-12
back,barbell,barbell decline wide-grip pullover,lats,"triceps, chest",advanced,5,10-12
upper arms,barbell,barbell drag curl,biceps,forearms,advanced,5,8-10
lower legs,barbell,barbell floor calf raise,calves,hamstrings,advanced,4,8-10
upper legs,barbell,barbell front chest squat,glutes,"quadriceps, hamstrings",advanced,4,8-10
shoulders,barbell,barbell front raise,shoulders,"biceps, triceps",advanced,5,10-12
chest,barbell,barbell front raise and pullover,pectorals,"deltoids, triceps",advanced,4,8-10
upper legs,barbell,barbell front squat,glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,barbell,barbell full squat,glutes,"quadriceps, hamstrings",advanced,5,10-12
upper legs,barbell,barbell full squat (back pov),glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,barbell,barbell full squat (side pov),glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,barbell,barbell full zercher squat,glutes,"quadriceps, hamstrings",advanced,5,10-12
upper legs,barbell,barbell glute bridge,glutes,"hamstrings, lower back",advanced,4,8-10
upper legs,barbell,barbell glute bridge two legs on bench (male),glutes,"hamstrings, core",advanced,5,10-12
upper legs,barbell,barbell good morning,hamstrings,lower back,advanced,5,10-12
chest,barbell,barbell guillotine bench press,pectorals,"shoulders, triceps",advanced,4,8-10
upper legs,barbell,barbell hack squat,glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,barbell,barbell high bar squat,glutes,"quadriceps, hamstrings",advanced,5,8-10
chest,barbell,barbell incline bench press,pectorals,"shoulders, triceps",advanced,5,8-10
upper arms,barbell,barbell incline close grip bench press,triceps,"chest, shoulders",advanced,5,10-12
upper arms,barbell,barbell incline reverse-grip press,triceps,"chest, shoulders",advanced,4,8-10
back,barbell,barbell incline row,upper back,"biceps, forearms",advanced,5,10-12
chest,barbell,barbell incline shoulder raise,serratus anterior,"deltoids, trapezius",advanced,5,8-10
upper legs,barbell,barbell jefferson squat,glutes,"quadriceps, hamstrings",advanced,5,10-12
upper arms,barbell,barbell jm bench press,triceps,"chest, shoulders",advanced,5,10-12
upper legs,barbell,barbell jump squat,glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,barbell,barbell lateral lunge,glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,barbell,barbell low bar squat,glutes,"quadriceps, hamstrings",advanced,5,8-10
upper legs,barbell,barbell lunge,glutes,"quadriceps, hamstrings",advanced,4,10-12
upper arms,barbell,barbell lying back of the head tricep extension,triceps,shoulders,advanced,4,8-10
upper arms,barbell,barbell lying close-grip press,triceps,"chest, shoulders",advanced,4,10-12
upper arms,barbell,barbell lying close-grip triceps extension,triceps,shoulders,advanced,4,8-10
upper arms,barbell,barbell lying extension,triceps,shoulders,advanced,4,8-10
upper legs,barbell,barbell lying lifting (on hip),glutes,"hamstrings, quadriceps",advanced,5,8-10
upper arms,barbell,barbell lying preacher curl,biceps,forearms,advanced,4,10-12
upper arms,barbell,barbell lying triceps extension,triceps,shoulders,advanced,4,8-10
upper arms,barbell,barbell lying triceps extension skull crusher,triceps,shoulders,advanced,4,8-10
upper legs,barbell,barbell narrow stance squat,glutes,"quadriceps, hamstrings",advanced,5,8-10
back,barbell,barbell one arm bent over row,upper back,"biceps, forearms",advanced,4,10-12
upper arms,barbell,barbell one arm floor press,triceps,"chest, shoulders",advanced,4,10-12
upper legs,barbell,barbell one arm side deadlift,glutes,"hamstrings, quadriceps",advanced,4,10-12
shoulders,barbell,barbell one arm snatch,shoulders,"traps, forearms",advanced,5,10-12
upper legs,barbell,barbell one leg squat,quadriceps,"glutes, hamstrings",advanced,5,10-12
upper legs,barbell,barbell overhead squat,quadriceps,"glutes, hamstrings",advanced,4,10-12
lower arms,barbell,barbell palms down wrist curl over a bench,forearms,"biceps, brachialis",advanced,4,8-10
lower arms,barbell,barbell palms up wrist curl over a bench,forearms,"biceps, shoulders",advanced,5,8-10
back,barbell,barbell pendlay row,upper back,"biceps, forearms",advanced,4,8-10
upper arms,barbell,barbell pin presses,triceps,shoulders,advanced,4,10-12
upper arms,barbell,barbell preacher curl,biceps,forearms,advanced,5,10-12
waist,barbell,barbell press sit-up,abdominals,"shoulders, chest",advanced,5,10-12
upper arms,barbell,barbell prone incline curl,biceps,forearms,advanced,5,8-10
back,barbell,barbell pullover,lats,"chest, triceps",advanced,5,10-12
back,barbell,barbell pullover to press,lats,"triceps, chest",advanced,4,10-12
upper legs,barbell,barbell rack pull,glutes,"hamstrings, lower back",advanced,5,10-12
shoulders,barbell,barbell rear delt raise,shoulders,"traps, rhomboids",advanced,5,8-10
shoulders,barbell,barbell rear delt row,shoulders,"trapezius, rhomboids",advanced,4,10-12
upper legs,barbell,barbell rear lunge,glutes,"quadriceps, hamstrings",advanced,5,8-10
upper legs,barbell,barbell rear lunge v. 2,glutes,"quadriceps, hamstrings",advanced,5,10-12
lower arms,barbell,barbell revers wrist curl v. 2,forearms,"biceps, brachialis",advanced,4,10-12
upper arms,barbell,barbell reverse close-grip bench press,triceps,"chest, shoulders",advanced,4,8-10
upper arms,barbell,barbell reverse curl,biceps,forearms,advanced,4,8-10
back,barbell,barbell reverse grip bent over row,upper back,"biceps, forearms",advanced,4,10-12
chest,barbell,barbell reverse grip decline bench press,pectorals,"triceps, shoulders",advanced,5,8-10
chest,barbell,barbell reverse grip incline bench press,pectorals,"triceps, shoulders",advanced,5,10-12
back,barbell,barbell reverse grip incline bench row,upper back,"biceps, forearms",advanced,5,8-10
upper arms,barbell,barbell reverse grip skullcrusher,triceps,forearms,advanced,4,8-10
upper arms,barbell,barbell reverse preacher curl,biceps,forearms,advanced,5,8-10
lower arms,barbell,barbell reverse wrist curl,forearms,"biceps, brachialis",advanced,5,8-10
waist,barbell,barbell rollerout,abdominals,lower back,advanced,4,8-10
waist,barbell,barbell rollerout from bench,abdominals,"shoulders, triceps",advanced,5,10-12
upper legs,barbell,barbell romanian deadlift,glutes,"hamstrings, lower back",advanced,5,10-12
shoulders,barbell,barbell seated behind head military press,shoulders,"triceps, upper back",advanced,5,10-12
shoulders,barbell,barbell seated bradford rocky press,shoulders,"triceps, upper back",advanced,4,10-12
lower legs,barbell,barbell seated calf raise,calves,"hamstrings, quadriceps",advanced,4,8-10
upper arms,barbell,barbell seated close grip behind neck triceps extension,triceps,shoulders,advanced,4,10-12
upper arms,barbell,barbell seated close-grip concentration curl,biceps,forearms,advanced,4,10-12
upper legs,barbell,barbell seated good morning,glutes,"hamstrings, lower back",advanced,5,8-10
shoulders,barbell,barbell seated overhead press,shoulders,"triceps, upper back",advanced,5,10-12
upper arms,barbell,barbell seated overhead triceps extension,triceps,shoulders,advanced,4,8-10
waist,barbell,barbell seated twist,abdominals,"obliques, lower back",advanced,4,10-12
back,barbell,barbell shrug,trapezius,shoulders,advanced,5,8-10
waist,barbell,barbell side bent v. 2,abdominals,"obliques, lower back",advanced,5,10-12
upper legs,barbell,barbell side split squat,quadriceps,"glutes, hamstrings",advanced,4,8-10
upper legs,barbell,barbell side split squat v. 2,quadriceps,"glutes, hamstrings",advanced,4,10-12
upper legs,barbell,barbell single leg deadlift,glutes,"hamstrings, lower back",advanced,5,8-10
upper legs,barbell,barbell single leg split squat,quadriceps,"glutes, hamstrings",advanced,5,10-12
waist,barbell,barbell sitted alternate leg raise,abdominals,hip flexors,advanced,5,10-12
waist,barbell,barbell sitted alternate leg raise (female),abdominals,"hip flexors, quadriceps",advanced,4,8-10
shoulders,barbell,barbell skier,shoulders,"triceps, core",advanced,4,8-10
upper legs,barbell,barbell speed squat,glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,barbell,barbell split squat v. 2,quadriceps,"glutes, hamstrings",advanced,5,8-10
upper legs,barbell,barbell squat (on knees),quadriceps,"glutes, hamstrings",advanced,5,10-12
upper legs,barbell,barbell squat jump step rear lunge,quadriceps,"glutes, hamstrings",advanced,5,10-12
waist,barbell,barbell standing ab rollerout,abdominals,"shoulders, lower back",advanced,4,10-12
lower arms,barbell,barbell standing back wrist curl,forearms,"biceps, shoulders",advanced,5,8-10
shoulders,barbell,barbell standing bradford press,shoulders,"triceps, upper back",advanced,5,10-12
lower legs,barbell,barbell standing calf raise,calves,"hamstrings, glutes",advanced,5,10-12
upper arms,barbell,barbell standing close grip curl,biceps,forearms,advanced,5,8-10
shoulders,barbell,barbell standing close grip military press,shoulders,"triceps, upper back",advanced,5,10-12
upper arms,barbell,barbell standing concentration curl,biceps,forearms,advanced,5,8-10
shoulders,barbell,barbell standing front raise over head,shoulders,"triceps, upper back",advanced,4,8-10
lower legs,barbell,barbell standing leg calf raise,calves,"hamstrings, glutes",advanced,4,10-12
upper arms,barbell,barbell standing overhead triceps extension,triceps,shoulders,advanced,4,10-12
upper arms,barbell,barbell standing reverse grip curl,biceps,forearms,advanced,5,10-12
lower legs,barbell,barbell standing rocking leg calf raise,calves,"hamstrings, quadriceps",advanced,4,8-10
waist,barbell,barbell standing twist,abdominals,"obliques, lower back",advanced,5,10-12
upper arms,barbell,barbell standing wide grip biceps curl,biceps,forearms,advanced,5,10-12
shoulders,barbell,barbell standing wide military press,shoulders,"triceps, upper back",advanced,4,10-12
upper arms,barbell,barbell standing wide-grip curl,biceps,"forearms, shoulders",advanced,4,10-12
upper legs,barbell,barbell step-up,glutes,"quadriceps, hamstrings",advanced,4,8-10
upper legs,barbell,barbell stiff leg good morning,glutes,"hamstrings, lower back",advanced,5,10-12
upper legs,barbell,barbell straight leg deadlift,hamstrings,"glutes, lower back",advanced,4,8-10
upper legs,barbell,barbell sumo deadlift,glutes,"hamstrings, quadriceps",advanced,4,8-10
shoulders,barbell,barbell thruster,shoulders,"quadriceps, glutes",advanced,4,8-10
shoulders,barbell,barbell upright row,shoulders,"traps, biceps",advanced,4,10-12
shoulders,barbell,barbell upright row v. 2,shoulders,"traps, biceps",advanced,5,8-10
shoulders,barbell,barbell upright row v. 3,shoulders,"traps, biceps",advanced,5,8-10
chest,barbell,barbell wide bench press,pectorals,"shoulders, triceps",advanced,4,8-10
chest,barbell,barbell wide reverse grip bench press,pectorals,"triceps, shoulders",advanced,4,8-10
upper legs,barbell,barbell wide squat,quadriceps,"glutes, hamstrings",advanced,5,10-12
shoulders,barbell,barbell wide-grip upright row,shoulders,"traps, biceps",advanced,5,10-12
lower arms,barbell,barbell wrist curl,forearms,"biceps, brachialis",advanced,4,8-10
lower arms,barbell,barbell wrist curl v. 2,forearms,"biceps, brachialis",advanced,4,10-12
upper legs,barbell,barbell zercher squat,glutes,"quadriceps, hamstrings",advanced,4,10-12
upper legs,body weight,basic toe touch (male),glutes,"hamstrings, calves",beginner,3,12-15
shoulders,rope,battling ropes,shoulders,"forearms, core",intermediate,3,15-18
cardio,body weight,bear crawl,cardiovascular system,"core, shoulders",beginner,3,10-12
chest,assisted,behind head chest stretch,pectorals,"shoulders, triceps",beginner,3,12-15
upper arms,body weight,bench dip (knees bent),triceps,"chest, shoulders",beginner,3,10-12
upper arms,body weight,bench dip on floor,triceps,"chest, shoulders",beginner,2,10-12
upper legs,body weight,bench hip extension,glutes,hamstrings,beginner,3,10-12
back,body weight,bench pull-ups,lats,"biceps, forearms",beginner,3,10-12
upper legs,body weight,bent knee lying twist (male),glutes,"obliques, hip flexors",beginner,3,12-15
upper arms,body weight,biceps leg concentration curl,biceps,forearms,beginner,3,12-15
upper arms,body weight,biceps narrow pull-ups,biceps,"forearms, shoulders",beginner,3,10-12
upper arms,body weight,biceps pull-up,biceps,"forearms, shoulders",beginner,2,10-12
upper arms,body weight,body-up,triceps,"chest, shoulders",beginner,2,10-12
upper legs,body weight,bodyweight drop jump squat,glutes,"quadriceps, hamstrings",beginner,3,12-15
waist,body weight,bodyweight incline side plank,abdominals,"obliques, shoulders",beginner,2,10-12
upper arms,body weight,bodyweight kneeling triceps extension,triceps,"shoulders, chest",beginner,3,12-15
upper arms,body weight,bodyweight side lying biceps curl,biceps,forearms,beginner,3,10-12
back,body weight,bodyweight squatting row,upper back,"biceps, shoulders",beginner,2,10-12
back,body weight,bodyweight squatting row (with towel),upper back,"biceps, shoulders",beginner,2,12-15
lower legs,body weight,bodyweight standing calf raise,calves,"ankles, feet",beginner,3,10-12
back,body weight,bodyweight standing close-grip one arm row,upper back,"biceps, forearms",beginner,2,10-12
back,body weight,bodyweight standing close-grip row,upper back,"biceps, forearms",beginner,3,10-12
back,body weight,bodyweight standing one arm row,upper back,"biceps, forearms",beginner,3,12-15
back,body weight,bodyweight standing one arm row (with towel),upper back,"biceps, forearms",beginner,3,12-15
back,body weight,bodyweight standing row,upper back,"biceps, shoulders",beginner,3,10-12
back,body weight,bodyweight standing row (with towel),upper back,"biceps, shoulders",beginner,2,10-12
waist,body weight,bottoms-up,abdominals,"obliques, hip flexors",beginner,3,12-15
lower legs,body weight,box jump down with one leg stabilization,calves,"quadriceps, hamstrings",beginner,3,10-12
waist,body weight,bridge - mountain climber (cross body),abdominals,"glutes, quadriceps",beginner,3,10-12
cardio,body weight,burpee,cardiovascular system,"quadriceps, hamstrings",beginner,2,12-15
waist,body weight,butt-ups,abdominals,"hip flexors, lower back",beginner,2,12-15
upper legs,body weight,butterfly yoga pose,adductors,"hamstrings, groin",beginner,3,10-12
shoulders,cable,cable alternate shoulder press,shoulders,"triceps, upper back",intermediate,4,12-15
upper arms,cable,cable alternate triceps extension,triceps,shoulders,intermediate,3,12-15
upper legs,cable,cable assisted inverse leg curl,hamstrings,"glutes, calves",intermediate,4,15-18
back,cable,cable bar lateral pulldown,lats,"biceps, rhomboids",advanced,4,10-12
chest,cable,cable bench press,pectorals,"triceps, shoulders",advanced,4,8-10
upper arms,cable,cable close grip curl,biceps,forearms,beginner,2,12-15
upper arms,cable,cable concentration curl,biceps,forearms,beginner,2,12-15
upper arms,cable,cable concentration extension (on knee),triceps,forearms,intermediate,3,12-15
back,cable,cable cross-over lateral pulldown,lats,"biceps, rhomboids",advanced,5,8-10
shoulders,cable,cable cross-over revers fly,shoulders,"rhomboids, trapezius",intermediate,3,15-18
chest,cable,cable cross-over variation,pectorals,"deltoids, triceps",advanced,5,8-10
upper arms,cable,cable curl,biceps,forearms,beginner,3,10-12
upper legs,cable,cable deadlift,glutes,"hamstrings, quadriceps",intermediate,3,15-18
chest,cable,cable decline fly,pectorals,"shoulders, triceps",advanced,5,8-10
chest,cable,cable decline one arm press,pectorals,"triceps, shoulders",advanced,4,10-12
chest,cable,cable decline press,pectorals,"triceps, shoulders",advanced,4,10-12
back,cable,cable decline seated wide-grip row,upper back,"biceps, forearms",advanced,4,10-12
upper arms,cable,cable drag curl,biceps,forearms,beginner,2,10-12
back,cable,cable floor seated wide-grip row,upper back,"biceps, forearms",advanced,4,10-12
shoulders,cable,cable forward raise,shoulders,"triceps, forearms",intermediate,4,12-15
shoulders,cable,cable front raise,shoulders,"triceps, forearms",intermediate,4,15-18
shoulders,cable,cable front shoulder raise,shoulders,"trapezius, biceps",intermediate,3,12-15
upper arms,cable,cable hammer curl (with rope),biceps,forearms,beginner,3,10-12
upper arms,cable,cable high pulley overhead tricep extension,triceps,shoulders,intermediate,4,12-15
back,cable,cable high row (kneeling),upper back,"biceps, shoulders",advanced,4,10-12
upper legs,cable,cable hip adduction,adductors,"glutes, quadriceps",intermediate,3,15-18
chest,cable,cable incline bench press,pectorals,"deltoids, triceps",advanced,4,10-12
back,cable,cable incline bench row,upper back,"biceps, rear deltoids",advanced,5,10-12
chest,cable,cable incline fly,pectorals,"deltoids, triceps",advanced,4,8-10
chest,cable,cable incline fly (on stability ball),pectorals,"deltoids, triceps",advanced,4,10-12
back,cable,cable incline pushdown,lats,"triceps, shoulders",advanced,5,8-10
upper arms,cable,cable incline triceps extension,triceps,shoulders,intermediate,4,15-18
waist,cable,cable judo flip,abdominals,"obliques, shoulders",beginner,3,12-15
upper arms,cable,cable kickback,triceps,shoulders,intermediate,4,15-18
waist,cable,cable kneeling crunch,abdominals,obliques,beginner,3,12-15
shoulders,cable,cable kneeling rear delt row (with rope) (male),shoulders,"trapezius, rhomboids",intermediate,3,12-15
upper arms,cable,cable kneeling triceps extension,triceps,shoulders,intermediate,4,12-15
back,cable,cable lat pulldown full range of motion,lats,"biceps, rhomboids",advanced,4,10-12
back,cable,cable lateral pulldown (with rope attachment),lats,"biceps, forearms",advanced,5,8-10
back,cable,cable lateral pulldown with v-bar,lats,"biceps, forearms",advanced,4,10-12
shoulders,cable,cable lateral raise,shoulders,"traps, triceps",intermediate,3,15-18
chest,cable,cable low fly,pectorals,"deltoids, triceps",advanced,5,8-10
back,cable,cable low seated row,upper back,"biceps, forearms",advanced,4,8-10
upper arms,cable,cable lying bicep curl,biceps,forearms,beginner,3,10-12
upper arms,cable,cable lying close-grip curl,biceps,forearms,beginner,3,10-12
back,cable,cable lying extension pullover (with rope attachment),lats,"triceps, shoulders",advanced,4,8-10
chest,cable,cable lying fly,pectorals,"deltoids, triceps",advanced,4,10-12
upper arms,cable,cable lying triceps extension v. 2,triceps,shoulders,intermediate,4,12-15
chest,cable,cable middle fly,pectorals,"deltoids, triceps",advanced,4,8-10
back,cable,cable one arm bent over row,upper back,"biceps, forearms",advanced,5,10-12
upper arms,cable,cable one arm curl,biceps,forearms,beginner,2,12-15
chest,cable,cable one arm decline chest fly,pectorals,"shoulders, triceps",advanced,5,8-10
chest,cable,cable one arm fly on exercise ball,pectorals,"deltoids, triceps",advanced,5,8-10
chest,cable,cable one arm incline fly on exercise ball,pectorals,"deltoids, triceps",advanced,5,8-10
chest,cable,cable one arm incline press,pectorals,"deltoids, triceps",advanced,5,10-12
chest,cable,cable one arm incline press on exercise ball,pectorals,"shoulders, triceps",advanced,5,10-12
chest,cable,cable one arm lateral bent-over,pectorals,"deltoids, trapezius",advanced,5,8-10
shoulders,cable,cable one arm lateral raise,shoulders,"traps, triceps",intermediate,4,12-15
upper arms,cable,cable one arm preacher curl,biceps,forearms,beginner,3,12-15
chest,cable,cable one arm press on exercise ball,pectorals,"shoulders, triceps",advanced,5,10-12
back,cable,cable one arm pulldown,lats,"biceps, forearms",advanced,4,8-10
upper arms,cable,cable one arm reverse preacher curl,biceps,forearms,beginner,3,12-15
back,cable,cable one arm straight back high row (kneeling),upper back,"biceps, shoulders",advanced,4,8-10
upper arms,cable,cable one arm tricep pushdown,triceps,forearms,intermediate,3,15-18
upper arms,cable,cable overhead curl,biceps,"forearms, shoulders",beginner,3,12-15
upper arms,cable,cable overhead curl on exercise ball,biceps,"forearms, shoulders",beginner,3,10-12
upper arms,cable,cable overhead triceps extension (rope attachment),triceps,shoulders,intermediate,3,15-18
